GovEntityID,Entity_Name,ParentEntityName,YEAR,Population,Tot_Rev,Police_Exp,Health_Exp,Housing_Exp,Tot_Exp,Tot_Exp2
100,Ada,Norman,2018,1672,2078154,401198,0,34504,2203715,2741253
101,Adams,Mower,2018,798,977299,104121,54003,0,623987,1025811
102,Adrian,Nobles,2018,1256,1315370,201034,0,16997,830540,1231449
103,Afton,Washington,2018,3024,3930667,188390,0,0,1421383,4365792
104,Aitkin,Aitkin,2018,2123,5143816,787715,0,395125,2780344,5642846
105,Akeley,Hubbard,2018,451,359793,66088,0,0,362582,400820
106,Albany,Stearns,2018,2712,2490137,465557,0,0,1500391,2667056
107,Albert Lea,Freeborn,2018,18165,21973487,3596292,0,214251,15893976,26411839
108,Alberta,Stevens,2018,111,116576,0,0,0,76386,106211
109,Albertville,Wright,2018,7485,6114083,735840,0,31757,3410975,5554531
110,Alden,Freeborn,2018,624,593796,15274,,,317233,571270
111,Aldrich,Wadena,2018,42,25750,0,0,0,17903,17903
112,Alexandria,Douglas,2018,13951,17249915,3128414,0,640746,11652296,20086517
113,Alpha,Jackson,2018,110,157893,0,0,0,110523,125592
114,Altura,Winona,2018,466,394443,0,0,0,261172,301548
115,Alvarado,Marshall,2018,366,305160,,,20549,285026,343117
116,Amboy,Blue Earth,2018,510,640575,108605,0,0,387230,517712
117,Andover,Anoka,2018,32728,19267296,3053526,0,0,12999992,19603439
118,Annandale,Wright,2018,3374,3067579,661486,0,19816,1902488,3224750
119,Anoka,Anoka,2018,18573,15727871,5172543,0,162353,12840097,20106796
120,Apple Valley,Dakota,2018,53429,43134707,9411246,0,727366,31250801,40792688
121,Appleton,Swift,2018,1356,3136020,391775,0,0,2058909,3061833
122,Arco,Lincoln,2018,75,95732,0,0,5000,75749,78249
123,Arden Hills,Ramsey,2018,9889,7222675,1227131,0,231585,4811062,10757975
124,Argyle,Marshall,2018,650,716029,,,,465825,645941
125,Arlington,Sibley,2018,2230,2520002,313633,0,0,1684917,2928296
126,Ashby,Grant,2018,448,573183,34105,,17058,399828,530445
127,Askov,Pine,2018,349,345080,0,0,0,252569,314434
128,Atwater,Kandiyohi,2018,1127,982843,100328,0,0,647738,824660
129,Audubon,Becker,2018,532,734305,49183,0,0,537905,844158
130,Aurora,Saint Louis,2018,1670,2921027,370140,0,50192,2281724,2782029
131,Austin,Mower,2018,25589,23841178,4757597,0,0,16378834,22258904
132,Avoca,Murray,2018,138,81759,1430,,,78966,115160
133,Avon,Stearns,2018,1639,1985401,376392,0,26042,1355819,1800963
134,Babbitt,Saint Louis,2018,1454,2919985,589816,,,2200835,3494220
135,Backus,Cass,2018,250,731978,16640,,,801284,1158980
136,Badger,Roseau,2018,362,373963,0,0,0,242525,331485
137,Bagley,Clearwater,2018,1421,2224242,281329,0,16263,1323131,2058846
138,Balaton,Lyon,2018,630,935339,67006,35138,1281,620815,1130595
139,Barnesville,Clay,2018,2666,2929960,623002,0,53935,2794686,3682019
140,Barnum,Carlton,2018,605,639309,631,0,0,408071,741388
141,Barrett,Grant,2018,414,399815,35624,0,0,446328,450717
142,Barry,Big Stone,2018,13,18312,,,,21155,21155
143,Battle Lake,Otter Tail,2018,936,1008362,249447,0,45787,802680,893446
144,Baudette,Lake of The Woods,2018,1069,1707793,248420,0,650000,2049636,2409695
145,Baxter,Crow Wing,2018,8478,17666244,1823279,0,354353,8641912,24876281
146,Bayport,Washington,2018,3893,3782476,880404,0,54440,2933757,3329726
147,Beardsley,Big Stone,2018,216,157583,0,0,0,113964,314924
148,Beaver Bay,Lake,2018,180,385560,0,0,0,257210,272722
149,Beaver Creek,Rock,2018,286,230407,10052,0,0,293591,341705
150,Becker,Sherburne,2018,4856,8070813,903790,0,0,5307459,8358096
151,Bejou,Mahnomen,2018,93,39448,0,0,0,47686,57507
152,Belgrade,Stearns,2018,762,1106200,225232,,,604875,1285891
153,Belle Plaine,Scott,2018,7408,7663951,1507300,0,1000,4090024,9004329
154,Bellechester,Goodhue,2018,170,121813,5540,0,0,113295,188748
155,Bellingham,Lac qui Parle,2018,150,210502,,,,131019,215311
156,Beltrami,Polk,2018,97,65380,0,0,0,79339,87794
157,Belview,Redwood,2018,362,333267,0,0,0,281679,283429
158,Bemidji,Beltrami,2018,15462,15672871,4289518,0,0,12369591,17750585
159,Bena,Cass,2018,122,26348,,,,32117,32117
160,Benson,Swift,2018,3156,24018218,935360,0,112792,3153813,4152088
161,Bertha,Todd,2018,486,415695,59150,0,14526,338695,395356
162,Bethel,Anoka,2018,505,585138,42440,0,0,293204,409647
163,Big Falls,Koochiching,2018,210,426173,,,,257499,460659
164,Big Lake,Sherburne,2018,11456,8278501,1782105,0,0,4678171,10189464
165,Bigelow,Nobles,2018,234,198888,7280,0,0,112042,112042
166,Bigfork,Itasca,2018,439,774966,,,22456,361181,764770
167,Bingham Lake,Cottonwood,2018,128,146809,,,,94008,94008
168,Birchwood,Washington,2018,876,466108,51958,,,395350,426267
169,Bird Island,Renville,2018,989,1083049,165688,,,811550,1842239
170,Biscay,McLeod,2018,103,55904,0,0,0,47501,47501
171,Biwabik,Saint Louis,2018,995,1548837,338170,0,0,1627255,4885507
172,Blackduck,Beltrami,2018,840,724122,177653,0,0,590652,709319
173,Blaine,Anoka,2018,66667,44307133,10894520,0,0,31550223,52377163
174,Blomkest,Kandiyohi,2018,149,178661,0,0,0,122471,191278
175,Blooming Prairie,Steele,2018,1992,1814915,417580,0,0,1357816,1818086
176,Bloomington,Hennepin,2018,89654,148306791,25766677,6357652,15017640,102460002,140686199
177,Blue Earth,Faribault,2018,3204,6246940,609702,0,18426,3754175,10151968
178,Bluffton,Otter Tail,2018,216,176999,0,0,0,104065,113905
179,Bock,Mille Lacs,2018,108,58899,,,,40181,40181
180,Borup,Norman,2018,104,59943,,,,37417,42636
181,Bovey,Itasca,2018,796,1091267,239072,0,0,865958,1065539
182,Bowlus,Morrison,2018,287,257579,0,0,0,140699,215913
184,Boyd,Lac qui Parle,2018,155,261333,16310,0,0,195331,204481
185,Braham,Isanti,2018,1804,2058591,523940,0,0,1413312,2096394
186,Brainerd,Crow Wing,2018,13732,20483911,3680728,0,376488,14104123,20968400
187,Brandon,Douglas,2018,495,535030,,,,302562,507923
188,Breckenridge,Wilkin,2018,3298,3803998,859472,0,0,2758811,4201637
189,Breezy Point,Crow Wing,2018,2485,2882097,743993,,,1882711,2215908
190,Brewster,Nobles,2018,481,551773,7272,0,2964,349440,594775
191,Bricelyn,Faribault,2018,346,384976,12000,0,0,220358,326412
192,Brook Park,Pine,2018,126,82590,,,,106745,106745
193,Brooklyn Center,Hennepin,2018,32299,36434418,8718540,0,0,22964072,36805054
194,Brooklyn Park,Hennepin,2018,81679,73198700,22393731,0,909664,56593873,70169194
195,Brooks,Red Lake,2018,136,90889,3375,,,53585,53585
196,Brookston,Saint Louis,2018,124,50209,0,0,0,57966,57966
197,Brooten,Stearns,2018,747,1826347,81998,0,0,472974,2316471
198,Browerville,Todd,2018,789,706684,27300,0,0,396304,3337710
199,Browns Valley,Traverse,2018,559,993400,146687,,,842134,933128
200,Brownsdale,Mower,2018,683,516686,39660,,,374387,564736
201,Brownsville,Houston,2018,489,320117,0,0,43238,252571,429296
202,Brownton,McLeod,2018,717,1026314,162600,0,0,1110794,4437274
203,Bruno,Pine,2018,98,94246,,,,72578,72578
204,Buckman,Morrison,2018,299,104514,,,,59070,59070
205,Buffalo,Wright,2018,16479,13203539,2240488,0,190395,9377157,14274038
206,Buffalo Lake,Renville,2018,674,1837799,185155,0,0,713932,4833849
207,Buhl,Saint Louis,2018,980,1139820,58390,0,0,845645,976941
208,Burnsville,Dakota,2018,62657,57162909,14373574,0,0,38551491,58428257
209,Burtrum,Todd,2018,138,78872,5040,0,0,46697,54856
210,Butterfield,Watonwan,2018,572,419345,0,0,0,330429,452094
211,Byron,Olmsted,2018,5770,4946003,341187,0,0,1961656,5917849
212,Caledonia,Houston,2018,2824,2595721,629109,0,11558,2193848,3722794
213,Callaway,Becker,2018,231,572280,66919,,,414891,414891
214,Calumet,Itasca,2018,348,353142,0,0,0,358520,422748
215,Cambridge,Isanti,2018,8977,10501782,1957849,0,460736,7562014,12450698
216,Campbell,Wilkin,2018,141,174682,3928,0,0,93968,128874
